timestamp,cpu_used_vcpu,mem_used_gib,disk_used_gib
2026-05-01 00:00,2.92,13.13,400.6
2026-05-01 01:00,2.79,13.65,399.7
2026-05-01 02:00,2.79,13.61,398.5
2026-05-01 03:00,2.97,13.02,398.9
2026-05-01 04:00,2.96,14.04,399.2
2026-05-01 05:00,2.87,13.77,402.7
2026-05-01 06:00,3.04,13.46,403.0
2026-05-01 07:00,2.78,14.09,400.5
2026-05-01 08:00,2.83,13.08,400.7
2026-05-01 09:00,7.09,17.81,402.0
2026-05-01 10:00,6.9,18.17,402.1
2026-05-01 11:00,6.28,17.59,400.9
2026-05-01 12:00,6.94,18.27,401.5
2026-05-01 13:00,6.84,18.31,401.6
2026-05-01 14:00,7.07,18.77,401.6
2026-05-01 15:00,6.83,18.45,404.3
2026-05-01 16:00,7.0,18.01,404.9
2026-05-01 17:00,6.34,18.25,404.2
2026-05-01 18:00,6.37,18.38,401.5
2026-05-01 19:00,5.39,16.92,403.9
2026-05-01 20:00,5.57,16.17,404.5
2026-05-01 21:00,5.33,16.61,403.8
2026-05-01 22:00,5.54,17.21,404.0
2026-05-01 23:00,3.08,13.0,405.1
2026-05-02 00:00,2.3,10.7,405.8
2026-05-02 01:00,2.17,10.08,405.4
2026-05-02 02:00,2.08,10.16,403.5
2026-05-02 03:00,2.11,9.75,406.1
2026-05-02 04:00,2.12,9.94,404.8
2026-05-02 05:00,2.38,9.77,405.2
2026-05-02 06:00,2.27,10.59,406.9
2026-05-02 07:00,2.38,9.97,405.5
2026-05-02 08:00,2.2,10.59,407.8
2026-05-02 09:00,4.78,13.35,405.1
2026-05-02 10:00,4.85,13.78,406.7
2026-05-02 11:00,4.87,13.12,406.2
2026-05-02 12:00,4.96,13.89,408.6
2026-05-02 13:00,5.22,13.82,407.4
2026-05-02 14:00,5.21,13.18,408.7
2026-05-02 15:00,5.29,14.32,408.5
2026-05-02 16:00,4.98,13.66,405.9
2026-05-02 17:00,5.17,13.2,406.0
2026-05-02 18:00,4.83,13.33,407.2
2026-05-02 19:00,3.66,11.74,406.7
2026-05-02 20:00,3.69,12.19,406.4
2026-05-02 21:00,4.17,12.5,407.0
2026-05-02 22:00,3.78,12.17,408.1
2026-05-02 23:00,2.11,10.56,410.8
2026-05-03 00:00,2.24,10.18,407.3
2026-05-03 01:00,2.11,10.04,408.2
2026-05-03 02:00,2.37,9.85,407.5
2026-05-03 03:00,2.41,10.23,408.1
2026-05-03 04:00,2.27,9.72,409.9
2026-05-03 05:00,2.42,10.57,410.7
2026-05-03 06:00,2.16,10.06,408.8
2026-05-03 07:00,2.35,10.23,411.4
2026-05-03 08:00,2.19,9.92,411.7
2026-05-03 09:00,5.46,14.29,411.9
2026-05-03 10:00,5.32,14.13,409.8
2026-05-03 11:00,5.08,13.6,409.2
2026-05-03 12:00,4.68,13.5,410.3
2026-05-03 13:00,5.22,14.43,411.2
2026-05-03 14:00,5.42,14.47,413.4
2026-05-03 15:00,4.95,13.41,410.7
2026-05-03 16:00,4.82,13.39,412.5
2026-05-03 17:00,5.39,14.27,412.1
2026-05-03 18:00,5.19,14.21,410.7
2026-05-03 19:00,4.04,12.87,413.7
2026-05-03 20:00,4.1,12.33,411.5
2026-05-03 21:00,4.12,12.15,414.1
2026-05-03 22:00,4.23,12.23,412.7
2026-05-03 23:00,2.41,10.43,412.0
2026-05-04 00:00,2.82,13.13,415.1
2026-05-04 01:00,3.15,13.12,415.0
2026-05-04 02:00,3.23,13.81,413.3
2026-05-04 03:00,3.02,13.1,412.1
2026-05-04 04:00,3.23,13.8,414.4
2026-05-04 05:00,3.21,13.51,415.9
2026-05-04 06:00,3.16,13.21,413.6
2026-05-04 07:00,2.9,13.25,415.2
2026-05-04 08:00,2.88,13.49,413.5
2026-05-04 09:00,7.19,18.13,415.0
2026-05-04 10:00,6.84,19.14,415.1
2026-05-04 11:00,7.2,18.4,415.7
2026-05-04 12:00,6.78,17.51,415.5
2026-05-04 13:00,6.41,17.49,417.1
2026-05-04 14:00,6.4,18.35,417.0
2026-05-04 15:00,6.81,18.08,416.4
2026-05-04 16:00,6.81,18.92,414.9
2026-05-04 17:00,6.82,17.94,415.8
2026-05-04 18:00,7.04,18.41,417.1
2026-05-04 19:00,5.47,17.16,416.8
2026-05-04 20:00,5.34,16.49,417.3
2026-05-04 21:00,5.41,16.4,417.6
2026-05-04 22:00,5.23,17.21,418.4
2026-05-04 23:00,3.18,14.2,416.9
2026-05-05 00:00,3.03,14.2,419.4
2026-05-05 01:00,2.83,13.09,418.0
2026-05-05 02:00,2.79,13.25,416.7
2026-05-05 03:00,3.08,13.99,420.2
2026-05-05 04:00,2.83,13.89,419.4
2026-05-05 05:00,2.83,14.12,420.8
2026-05-05 06:00,2.87,14.22,418.7
2026-05-05 07:00,2.99,14.27,420.6
2026-05-05 08:00,2.84,13.51,419.6
2026-05-05 09:00,6.58,17.84,419.0
2026-05-05 10:00,6.99,17.52,420.1
2026-05-05 11:00,6.69,17.51,419.4
2026-05-05 12:00,6.88,18.42,418.5
2026-05-05 13:00,7.27,18.93,422.3
2026-05-05 14:00,6.32,17.97,418.8
2026-05-05 15:00,7.05,17.98,419.3
2026-05-05 16:00,6.67,19.16,422.3
2026-05-05 17:00,6.49,17.75,422.9
2026-05-05 18:00,6.83,18.77,419.7
2026-05-05 19:00,4.88,16.79,421.3
2026-05-05 20:00,4.89,17.2,422.3
2026-05-05 21:00,5.5,15.79,423.4
2026-05-05 22:00,4.89,17.08,421.9
2026-05-05 23:00,2.92,13.67,424.0
2026-05-06 00:00,2.89,13.1,422.6
2026-05-06 01:00,2.87,13.07,421.3
2026-05-06 02:00,2.78,13.19,422.1
2026-05-06 03:00,2.91,13.95,422.2
2026-05-06 04:00,3.0,13.16,422.6
2026-05-06 05:00,2.77,13.26,421.5
2026-05-06 06:00,3.11,13.67,422.4
2026-05-06 07:00,2.99,14.19,422.2
2026-05-06 08:00,3.15,13.51,424.0
2026-05-06 09:00,7.11,18.2,424.2
2026-05-06 10:00,6.95,19.29,423.7
2026-05-06 11:00,7.11,18.78,425.1
2026-05-06 12:00,6.65,18.12,423.0
2026-05-06 13:00,6.35,17.61,425.9
2026-05-06 14:00,6.49,17.78,423.5
2026-05-06 15:00,7.12,19.08,426.0
2026-05-06 16:00,6.51,17.93,424.7
2026-05-06 17:00,6.71,17.77,425.5
2026-05-06 18:00,6.49,19.25,427.8
2026-05-06 19:00,5.29,16.06,427.9
